iter	Logloss
0	0.6871357555
1	0.6814329395
2	0.6765636152
3	0.6720634255
4	0.6678351702
5	0.6641565247
6	0.6608015968
7	0.6577161862
8	0.654848482
9	0.6523809257
10	0.650100604
11	0.6478675008
12	0.6459661871
13	0.6442012888
14	0.6426293155
15	0.6410953374
16	0.63972255
17	0.6384415307
18	0.6371866186
19	0.6360063459
20	0.6349135198
21	0.6339323067
22	0.6330463824
23	0.6321520314
24	0.6313032563
25	0.6305838209
26	0.6298320543
27	0.6292237503
28	0.6285415653
29	0.6279936798
30	0.6273792357
31	0.6267566093
32	0.6262245553
33	0.6257138805
34	0.6252213746
35	0.6247512619
36	0.6242986716
37	0.6239049324
38	0.6234843873
39	0.623130671
40	0.6227759964
41	0.6224965842
42	0.6221239502
43	0.621777273
44	0.6213898394
45	0.6211115844
46	0.6208048446
47	0.6205220998
48	0.6202425582
49	0.6199998865
50	0.6196677879
51	0.6193731989
52	0.619129072
53	0.6188803564
54	0.6186732493
55	0.6184628822
56	0.6182417612
57	0.6180163311
58	0.6178056423
59	0.6175298793
60	0.6173073638
61	0.61709722
62	0.6168922656
63	0.6166994789
64	0.6165307838
65	0.6163409804
66	0.6161679641
67	0.615994418
68	0.6158593416
69	0.6156574346
70	0.6154670039
71	0.615292481
72	0.6151311843
73	0.6149759629
74	0.614825397
75	0.6147149161
76	0.6145839604
77	0.6144490611
78	0.6143166545
79	0.6141549179
80	0.6140196647
81	0.6138697545
82	0.6137457044
83	0.6136335629
84	0.6135045865
85	0.6133977074
86	0.6132693932
87	0.6131535757
88	0.6130297889
89	0.6129012306
90	0.612787886
91	0.6126642379
92	0.612573241
93	0.6124859721
94	0.6123752443
95	0.6122636297
96	0.6121888595
97	0.6120875964
98	0.6120208666
99	0.6119319977
100	0.6118133051
101	0.6116997529
102	0.6115910893
103	0.6115144304
104	0.6114437536
105	0.6113652368
106	0.6112854483
107	0.6111987408
108	0.611119552
109	0.6110199424
110	0.610932531
111	0.6108506508
112	0.6107672301
113	0.6106840015
114	0.6106118068
115	0.6105305351
116	0.6104591881
117	0.6103976944
118	0.6102904812
119	0.610222552
120	0.610152748
121	0.6100875806
122	0.610042069
123	0.6099488183
124	0.6098933289
125	0.6098388064
126	0.6097737977
127	0.6097061068
128	0.6096378998
129	0.6095577293
130	0.6094961603
131	0.6094399539
